PWSID,ZIPCODE
AL0000882,35816
AL0000882,35824
AL0000882,35893
AL0000882,35894
AL0000882,35895
AL0000882,35896
AL0000882,35897
AL0000882,35899
AL0000885,35756
AL0000885,35757
AL0000885,35758
AL0000888,35739
AL0000888,35741
AL0000888,35748
AL0000888,35749
AL0000888,35750
AL0000888,35759
AL0000888,35760
AL0000888,35761
AL0000888,35763
AL0000888,35773
AL0000888,35776
AL0000888,35810
AL0000888,35811
AL0000893,35760
AL0000897,35763
AL0000899,35898
AL0000905,35756
AL0000908,36732
AL0000914,36748
AL0000924,35563
AL0000924,35594
AL0000926,35570
AL0000930,35594
AL0000933,35950
AL0000933,35951
AL0000934,35016
AL0000934,35175
AL0000934,35670
AL0000934,35754
AL0000934,35976
AL0000935,35951
AL0000935,35962
AL0000936,35957
AL0000940,35956
AL0000940,35957
AL0000940,35976
AL0000940,35980
AL0000943,35976
AL0000945,35747
AL0000945,35760
AL0000945,35769
AL0000945,35776
AL0000945,35976
AL0000947,35956
AL0000947,35957
AL0000957,36509
AL0000957,36523
AL0000957,36541
AL0000957,36544
AL0000967,36513
AL0000967,36522
AL0000967,36556
AL0000967,36575
AL0000971,36528
AL0000983,36541
AL0000993,36521
AL0000993,36571
AL0000993,36613
AL0000994,36505
AL0000994,36525
AL0001002,36523
AL0001002,36541
AL0001002,36544
AL0001002,36582
AL0001002,36590
AL0001002,36619
AL0001005,36575
AL0001005,36582
AL0001005,36603
AL0001005,36604
AL0001005,36605
AL0001005,36606
AL0001005,36608
AL0001005,36610
AL0001005,36618
AL0001005,36693
AL0001015,36610
AL0001015,36611
AL0001015,36612
AL0001015,36613
AL0001021,36571
AL0001021,36572
AL0001022,36572
AL0001031,36541
AL0001031,36544
AL0001031,36568
AL0001031,36582
AL0001046,36439
AL0001046,36445
AL0001046,36460
AL0001046,36475
AL0001052,36460
AL0001056,36445
AL0001056,36475
AL0001056,36480
AL0001056,36502
AL0001070,36013
AL0001070,36029
AL0001070,36043
AL0001070,36052
AL0001070,36057
AL0001070,36064
AL0001070,36069
AL0001070,36092
AL0001070,36101
AL0001070,36102
AL0001070,36103
AL0001070,36104
AL0001070,36105
AL0001070,36106
AL0001070,36107
AL0001070,36108
AL0001070,36109
AL0001070,36110
AL0001070,36111
AL0001070,36112
AL0001070,36113
AL0001070,36116
AL0001070,36117
AL0001070,36130
AL0001073,36043
AL0001073,36047
AL0001073,36069
AL0001073,36105
AL0001073,36108
AL0001073,36752
AL0001084,35601
AL0001084,35603
AL0001084,35622
AL0001084,35670
AL0001084,35671
AL0001084,35673
AL0001086,35640
AL0001088,35670
AL0001092,35603
AL0001092,35618
AL0001092,35619
AL0001092,35622
AL0001092,35640
AL0001092,35643
AL0001092,35650
AL0001092,35672
AL0001092,35673
AL0001097,36756
AL0001100,36786
AL0001106,35442
AL0001106,35447
AL0001106,35461
AL0001106,35466
AL0001106,35481
AL0001106,35574
AL0001106,35576
AL0001110,36010
AL0001120,36005
AL0001120,36010
AL0001120,36034
AL0001120,36035
AL0001120,36049
AL0001120,36079
AL0001120,36081
AL0001124,36079
AL0001124,36081
AL0001127,36274
AL0001137,36851
AL0001137,36856
AL0001137,36869
AL0001137,36871
AL0001137,36875
AL0001142,36867
AL0001145,36804
AL0001145,36858
AL0001145,36860
AL0001145,36869
AL0001145,36870
AL0001145,36871
AL0001145,36874
AL0001145,36875
AL0001148,35007
AL0001148,35040
AL0001148,35080
AL0001148,35114
AL0001148,35115
AL0001149,35051
AL0001149,35186
AL0001150,35040
AL0001151,35040
AL0001151,35043
AL0001151,35051
AL0001151,35124
AL0001151,35143
AL0001157,35022
AL0001157,35080
AL0001160,35115
AL0001163,35124
AL0001164,35128
AL0001164,35147
AL0001164,35176
AL0001164,35178
AL0001176,35054
AL0001176,35120
AL0001176,35125
AL0001176,35128
AL0001176,35146
AL0001176,35953
AL0001199,35112
AL0001199,35120
AL0001203,35004
AL0001203,35120
AL0001203,35146
AL0001203,35173
AL0001203,35953
AL0001204,35125
AL0001204,35128
AL0001209,35135
AL0001211,35146
AL0001216,35125
AL0001216,35131
AL0001220,35460
AL0001220,35470
AL0001220,36925
AL0001222,35442
AL0001222,35459
AL0001222,35460
AL0001222,35464
AL0001222,35470
AL0001222,35477
AL0001222,36901
AL0001222,36907
AL0001222,36912
AL0001222,36922
AL0001222,36925
AL0001223,36925
AL0001228,35014
AL0001228,35032
AL0001228,35044
AL0001228,35150
AL0001228,35151
AL0001236,35044
AL0001236,35151
AL0001245,35096
AL0001258,35150
AL0001258,35151
AL0001260,35160
AL0001265,35010
AL0001273,36853
AL0001279,36861
AL0001288,36078
AL0001288,36083
AL0001288,36866
AL0001289,36853
AL0001290,35446
AL0001290,35452
AL0001290,35457
AL0001290,35458
AL0001290,35466
AL0001290,35555
AL0001293,35111
AL0001293,35184
AL0001293,35440
AL0001293,35444
AL0001293,35453
AL0001293,35490
AL0001298,35449
AL0001298,35453
AL0001298,35490
AL0001301,35405
AL0001301,35474
AL0001302,35401
AL0001302,35446
AL0001302,35462
AL0001302,35463
AL0001302,35469
AL0001302,35480
AL0001306,35405
AL0001306,35453
AL0001306,35456
AL0001307,35473
AL0001307,35475
AL0001307,35476
AL0001313,35111
AL0001313,35184
AL0001313,35401
AL0001313,35402
AL0001313,35403
AL0001313,35404
AL0001313,35405
AL0001313,35406
AL0001313,35440
AL0001313,35444
AL0001313,35446
AL0001313,35452
AL0001313,35453
AL0001313,35456
AL0001313,35463
AL0001313,35469
AL0001313,35473
AL0001313,35474
AL0001313,35475
AL0001313,35476
AL0001313,35478
AL0001313,35480
AL0001313,35486
AL0001313,35487
AL0001313,35490
AL0001313,35546
AL0001322,35504
AL0001326,35550
AL0001336,35501
AL0001336,35503
AL0001336,35504
AL0001336,35549
AL0001336,35550
AL0001336,35578
AL0001336,35579
AL0001336,35580
AL0001336,35587
AL0001343,35546
AL0001343,35579
AL0001343,35587
AL0001344,35501
AL0001344,35550
AL0001344,35560
AL0001344,35579
AL0001344,35580
AL0001351,35062
AL0001351,35063
AL0001351,35148
AL0001363,36553
AL0001368,36529
AL0001368,36539
AL0001368,36584
AL0001371,36726
AL0001374,36726
AL0001393,36769
AL0001402,35540
AL0001403,35540
AL0001403,35541
AL0001403,35572
AL0001410,35553
AL0001410,35565
AL0001410,35572
AL0001411,35553
AL0001411,35565
AL0001411,35575
AL0001411,35577
AL0001420,35739
AL0001420,38449
AL0001422,35755
AL0001422,35950
AL0001422,35951
AL0001422,35956
AL0001422,35957
AL0001422,35959
AL0001422,35960
AL0001422,35961
AL0001422,35962
AL0001422,35963
AL0001422,35967
AL0001422,35968
AL0001422,35971
AL0001422,35973
AL0001422,35974
AL0001422,35975
AL0001422,35976
AL0001422,35978
AL0001422,35981
AL0001422,35983
AL0001422,35986
AL0001422,35988
AL0001422,35989
AL0001422,36775
AL0001423,35634
AL0001424,35610
AL0001424,35645
AL0001424,35648
AL0001424,35652
AL0001426,36444
AL0001426,36471
AL0001426,36475
AL0001432,35501
AL0001432,35502
AL0001432,35503
AL0001432,35504
AL0001432,35549
AL0001432,35553
AL0001432,35578
AL0001434,35094
AL0001434,35120
AL0001434,35125
AL0001434,35128
AL0001437,35054
AL0001437,35128
AL0001437,35178
AL0001439,36722
AL0001439,36736
AL0001439,36748
AL0001439,36754
AL0001439,36769
AL0001439,36782
AL0001439,36783
AL0001439,36784
AL0001489,36362
AL0001490,36530
AL0001490,36549
AL0001500,35581
AL0001500,35653
AL0001506,36732
AL0001506,36736
AL0001506,36763
AL0001506,36764
AL0001506,36782
AL0001506,36784
AL0001507,36030
AL0001507,36032
AL0001507,36033
AL0001507,36037
AL0001507,36042
AL0001507,36071
AL0001507,36456
AL0001507,36768
AL0001508,36032
AL0001508,36036
AL0001508,36037
AL0001508,36041
AL0001508,36042
AL0001508,36046
AL0001508,36049
AL0001508,36071
AL0001509,36744
AL0001510,36505
AL0001510,36521
AL0001510,36522
AL0001510,36571
AL0001512,36032
AL0001512,36040
AL0001512,36047
AL0001512,36104
AL0001512,36785
AL0001537,36278
AL0001540,35473
AL0001540,35475
AL0001540,35546
AL0001671,35043
AL0001671,35051
AL0001671,35078
AL0001671,35147
AL0001671,35178
AL0001671,35186
AL0001671,35242
AL0001685,35014
AL0001685,35044
AL0001685,35160
AL0001716,35570
AL0001721,35062
AL0001739,35014
AL0001739,35044
AL0001739,35160
AL0001748,35745
AL0001748,35746
AL0001748,35748
AL0001748,35751
AL0001748,35752
AL0001748,35764
AL0001748,35766
AL0001748,35768
AL0001748,35769
AL0001748,35772
AL0001748,35774
AL0001748,35776
AL0001750,36003
AL0001750,36006
AL0001750,36067
AL0001750,36703
AL0001750,36749
AL0001750,36758
AL0001755,36301
AL0001755,36320
AL0001755,36375
AL0001770,36551
AL0001770,36567
AL0001770,36574
AL0001770,36580
AL0001783,35031
AL0001786,35055
AL0001786,35057
AL0001786,35058
AL0001786,35077
AL0001789,36010
AL0001789,36311
AL0001789,36316
